seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,S9,1.155432939529419,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,S16,1.1597429513931274,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,S7,1.1489768624305725,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,S15,1.1653973460197449,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,S13,1.1351089477539062,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,S6,1.1736013293266296,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S5,1.137433409690857,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S8,1.1619072556495667,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,S7,1.057207703590393,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,S16,1.0607434511184692,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,S11,1.1332412958145142,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,S6,1.0769447684288025,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,S3,1.1115219593048096,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,100,S8,1.117714285850525,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,S5,1.1060873866081238,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,120,S3,1.1055262088775635,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,S13,1.0719650983810425,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,160,S6,0.9655278623104095,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,S9,1.078784465789795,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,180,S16,1.018754005432129,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,S13,1.0393232107162476,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,200,S6,0.9342159926891327,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,S9,1.0299970507621765,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,220,S16,0.9429610371589661,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,240,S5,1.0378621816635132,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,240,S8,1.091733455657959,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,240,S7,1.0376158356666565,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,240,S15,1.0918155908584595,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,S13,1.0074995160102844,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,260,S6,0.9519684910774231,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,320,S5,1.0223524570465088,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,320,S8,1.0597912669181824,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,320,S9,0.971316397190094,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,320,S15,1.0409486293792725,4,8,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,320,S7,1.0067485868930817,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,320,S13,0.9718362390995026,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,320,S16,0.9481982290744781,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,340,S11,1.0913758873939514,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,340,S6,0.9184207916259766,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,360,S5,0.9502152502536774,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,360,S3,1.0658997297286987,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,360,S9,0.9317598342895508,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,360,S7,0.9847639799118042,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,440,S5,0.9538408517837524,4,14,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,440,S7,0.9344581663608551,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,440,S3,1.0567694306373596,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,480,S9,0.8965232372283936,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,480,S15,0.9885029196739197,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,500,S13,0.9349001348018646,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,500,S11,1.044422686100006,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,520,S13,0.8667823374271393,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,520,S6,0.8645078539848328,4,16,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,520,S8,1.0364027619361877,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,540,S5,0.8997678160667419,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,540,S8,1.0682858228683472,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,580,S9,0.8877832293510437,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,580,S16,0.8820403814315796,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,620,S11,1.0425167679786682,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,620,S6,0.9115061461925507,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,700,S3,1.0340647101402283,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,700,S8,1.0421762466430664,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,760,S5,0.8385223746299744,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,760,S3,1.0285799503326416,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,760,S9,0.8412549793720245,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,760,S7,0.9322072267532349,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,760,S13,0.9378868341445923,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,760,S11,0.9865263104438782,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,800,S16,0.8826955258846283,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,800,S3,1.0318039655685425,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,840,S9,0.7473369836807251,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,840,S15,0.9513747543096542,4,14,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,840,S16,0.8432913720607758,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,900,S9,0.8547751903533936,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,900,S15,0.9360229969024658,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,900,S13,0.8922071158885956,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,900,S6,1.0122788548469543,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,920,S3,0.9784559011459351,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,920,S8,1.0108070373535156,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,940,S5,0.855275958776474,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,940,S8,1.0086846053600311,4,20,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,940,S3,0.997401624917984,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1020,S3,1.0162516236305237,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1020,S8,1.0439527928829193,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1020,S11,1.0112176835536957,2,12,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1020,S6,0.885120689868927,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1040,S5,0.9054612517356873,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1040,S3,0.9636052846908569,4,24,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,1040,S8,0.9810565710067749,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1100,S9,0.8365081250667572,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1100,S16,0.8450359404087067,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1120,S11,0.9607829749584198,2,14,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1120,S6,0.8610707223415375,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1140,S9,0.7666014581918716,4,26,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,1140,S7,0.9013646841049194,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1140,S11,0.8154932856559753,2,16,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1200,S13,0.951209157705307,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1200,S16,0.7793612778186798,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1240,S9,0.8003318905830383,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1240,S15,0.9027391374111176,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1240,S7,0.944850742816925,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1240,S16,0.7526199221611023,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1240,S13,0.889728307723999,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1240,S11,0.85474494099617,2,18,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1260,S13,0.8586805760860443,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1260,S6,0.8840786218643188,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1260,S3,0.9435035288333893,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1260,S8,0.9699559807777405,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1280,S7,0.9178266525268555,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1280,S15,0.886235386133194,4,22,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,1280,S16,0.7960146367549896,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1280,S3,0.8856448531150818,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1280,S8,0.9556949138641357,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1300,S5,0.8376861214637756,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1300,S8,1.0341182351112366,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1300,S13,0.9581584334373474,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1300,S11,1.2177533507347107,2,20,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1320,S5,0.8277005255222321,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1320,S8,1.1011136174201965,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1360,S5,0.8426991701126099,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1360,S3,0.9555433690547943,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1380,S13,0.8895082771778107,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1380,S11,0.9623550921678543,4,24,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,1380,S16,0.7011544108390808,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1380,S15,0.8842133283615112,4,26,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,1400,S13,0.9017439782619476,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1400,S6,0.8884488046169281,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1420,S5,0.784076452255249,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1420,S11,1.0498902201652527,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1440,S5,0.8861711025238037,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1440,S8,0.9794540703296661,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1460,S5,0.8661753535270691,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1460,S8,1.0255056321620941,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1460,S9,0.7320883572101593,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1460,S15,0.8977134823799133,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1480,S9,0.71442711353302,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1480,S15,0.8568487465381622,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1480,S11,0.9107582867145538,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1480,S6,0.9770482182502747,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1500,S16,0.8275142908096313,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1500,S15,0.83078733086586,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1520,S13,0.8711154460906982,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1520,S11,0.6847377419471741,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1520,S16,0.7377460300922394,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1520,S15,0.8469898700714111,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1540,S7,0.8415946066379547,2,22,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1540,S11,0.8614123165607452,4,34,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,1540,S16,0.7431336045265198,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1560,S9,0.7606026232242584,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1560,S15,0.8831011652946472,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1600,S3,0.8872047662734985,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1600,S8,0.9835808277130127,2,38,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1620,S5,0.8164829015731812,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1620,S8,0.9769748449325562,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1620,S13,0.8232035636901855,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1620,S6,0.9396571815013885,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1640,S5,0.8776500523090363,2,38,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1640,S8,0.8442524969577789,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1680,S9,0.7584466636180878,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1680,S15,0.882044792175293,2,38,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1680,S7,0.8725073039531708,2,24,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1680,S16,0.7212467789649963,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1720,S5,0.7547720670700073,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1720,S9,0.7433368563652039,4,40,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,1720,S7,0.8028854727745056,2,26,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1800,S7,0.8460086286067963,2,28,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1800,S16,0.7033405005931854,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1840,S9,0.5862780213356018,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1840,S7,0.8959679007530212,2,30,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1860,S11,0.8752495348453522,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1860,S6,0.8561667501926422,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1880,S9,0.719441831111908,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1880,S16,0.6958331763744354,2,38,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1900,S16,0.6688333451747894,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1900,S6,0.9911292493343353,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1920,S9,0.7328202426433563,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1920,S16,0.6553124785423279,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1940,S5,0.8599036335945129,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1940,S8,0.9651384949684143,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1940,S11,0.9371750056743622,2,38,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1940,S6,0.715126633644104,2,38,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1960,S5,0.696050763130188,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,1960,S13,0.8125098943710327,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2020,S5,0.7486000955104828,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2020,S7,0.8542928695678711,2,32,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2060,S5,0.7485767602920532,2,48,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2060,S9,0.5548045337200165,2,48,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2060,S11,0.9162201285362244,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2060,S6,0.8428320288658142,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2100,S9,0.6942997574806213,2,50,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2100,S15,0.7981990873813629,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2120,S13,0.7626433074474335,2,38,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2120,S11,0.6220379769802094,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2200,S9,0.7071594297885895,2,52,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2200,S7,0.8314008116722107,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2220,S13,0.9116358458995819,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2220,S6,0.8344152569770813,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2260,S9,0.7710230052471161,2,54,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2260,S16,0.6306866556406021,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2280,S7,0.8262384831905365,4,38,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,2280,S16,0.5605763494968414,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2280,S3,0.9331211745738983,2,34,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2300,S5,0.7155837416648865,2,50,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2300,S7,0.8378332853317261,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2380,S9,0.7130678594112396,2,56,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2380,S16,0.6634158492088318,2,48,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2380,S3,1.003976285457611,2,36,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2380,S8,0.82356396317482,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2420,S5,0.6836794316768646,2,52,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2420,S8,0.9321486055850983,2,48,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2420,S16,0.6030967086553574,2,50,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2420,S3,0.9271993637084961,2,38,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2440,S15,0.7899477183818817,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2440,S8,0.9540155827999115,2,50,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2480,S3,0.9232078194618225,2,40,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2480,S8,1.004433959722519,2,52,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2520,S9,0.6076475381851196,2,58,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2520,S7,0.8405687212944031,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2520,S13,0.8054527342319489,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2520,S11,0.6677291244268417,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2520,S16,0.5749947130680084,2,52,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2520,S15,0.9531334638595581,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2540,S3,0.9029353857040405,2,42,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2540,S8,1.0128977298736572,2,54,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2560,S9,0.6020984649658203,2,60,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2560,S7,0.7708487212657928,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2600,S3,0.9379307925701141,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2600,S8,0.9283379316329956,2,56,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2620,S13,0.884154736995697,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2620,S6,0.7655296921730042,2,44,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2640,S9,0.5973577797412872,2,62,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2640,S15,0.8411326706409454,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2640,S11,0.9058062434196472,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2640,S6,0.9458166062831879,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2660,S7,0.7805771231651306,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2660,S15,0.847894549369812,2,48,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2680,S7,0.7835080921649933,2,48,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2680,S16,0.6941503882408142,2,54,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2700,S9,0.6094878613948822,2,64,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2700,S7,0.646501362323761,2,50,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2700,S3,0.8242242634296417,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2700,S8,0.99100261926651,2,58,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2720,S16,0.5797861516475677,2,56,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2720,S15,0.7527843117713928,2,50,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2740,S9,0.6559628248214722,2,66,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2740,S7,0.7585700154304504,2,52,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2760,S13,0.907902717590332,2,46,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2760,S11,0.7922252714633942,2,48,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2780,S5,0.7498772740364075,2,54,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2780,S8,1.0067193508148193,2,60,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2780,S7,0.7058520913124084,2,54,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2780,S16,0.5517273545265198,2,58,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2840,S5,0.6869549453258514,2,56,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2840,S15,0.8049044907093048,4,54,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,2840,S9,0.6818222403526306,2,68,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2880,S9,0.6155742555856705,2,70,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2880,S7,0.7581465244293213,4,58,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,2880,S15,0.7075299322605133,2,56,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2920,S9,0.6230515837669373,2,72,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2920,S13,0.8125199973583221,2,48,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2940,S5,0.6562739610671997,2,58,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2940,S7,0.6416755616664886,2,60,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2940,S13,0.7646474540233612,2,50,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2940,S11,0.7293259799480438,2,50,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,2980,S16,0.6783072054386139,2,60,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
