seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,S5,1.1503946781158447,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,S7,1.1508773565292358,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,S13,1.136968731880188,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,S3,1.1405219435691833,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,S11,1.1379221081733704,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,0,S6,1.228764832019806,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,S5,1.0822810530662537,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,S7,1.091598927974701,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,S13,1.1028608083724976,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,S3,1.0637683868408203,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,S11,1.095457136631012,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,20,S6,1.1332733631134033,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,S5,1.0392280220985413,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,S7,1.0541422963142395,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,S13,1.034915566444397,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,S3,1.0392063856124878,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,S11,1.0615745186805725,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,40,S6,1.0628185272216797,2,6,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S5,0.9836763143539429,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S7,0.976191908121109,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S9,1.1542295813560486,2,2,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S3,1.023023083806038,4,10,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,60,S13,0.9901748299598694,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S11,1.0257798433303833,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,60,S6,0.9491377174854279,2,8,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,S9,1.0803105235099792,2,4,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,S3,1.0035271048545837,4,14,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,80,S7,0.963660478591919,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
7,80,S13,0.9521733522415161,4,12,"{""accepted_peers"": 2, ""training_mode"": ""contact""}"
7,80,S11,1.032045304775238,2,10,"{""accepted_peers"": 1, ""training_mode"": ""contact""}"
