seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,S11,1.1212152242660522,2,2,
7,0,S13,1.1785261034965515,2,2,
7,0,S15,1.1392728090286255,2,2,
7,0,S16,1.1411907076835632,2,2,
7,0,S3,1.1584929823875427,2,2,
7,0,S5,1.128007411956787,2,2,
7,0,S6,1.1858985424041748,2,2,
7,0,S7,1.1474347710609436,2,2,
7,0,S8,1.1690009832382202,2,2,
7,0,S9,1.1966418027877808,2,2,
7,300,S11,1.2392788529396057,2,11,
7,300,S13,0.9579885303974152,2,11,
7,300,S15,0.9561630487442017,2,11,
7,300,S16,1.0433664321899414,2,4,
7,300,S3,1.036695420742035,2,8,
7,300,S5,0.82020103931427,2,14,
7,300,S6,0.998662143945694,2,8,
7,300,S7,0.8246417343616486,2,18,
7,300,S8,1.0442555844783783,2,12,
7,300,S9,0.9144014716148376,2,12,
7,600,S11,0.997845470905304,2,20,
7,600,S13,0.891873687505722,2,13,
7,600,S15,0.9424099624156952,2,19,
7,600,S16,0.986902266740799,2,6,
7,600,S3,0.9929670095443726,2,12,
7,600,S5,0.7723038792610168,2,17,
7,600,S6,0.9382502436637878,2,11,
7,600,S7,0.8257727026939392,2,35,
7,600,S8,0.9984487891197205,2,29,
7,600,S9,0.8196069598197937,2,14,
7,900,S11,0.8478946387767792,2,31,
7,900,S13,0.8450186252593994,2,18,
7,900,S15,0.8460218906402588,2,29,
7,900,S16,0.7596167325973511,2,19,
7,900,S3,0.9426235556602478,2,18,
7,900,S5,0.7124803364276886,2,29,
7,900,S6,0.8788571059703827,2,19,
7,900,S7,0.7824127078056335,2,47,
7,900,S8,0.8777286112308502,2,37,
7,900,S9,0.7056587934494019,2,23,
7,1200,S11,0.7176205515861511,2,48,
7,1200,S13,0.7366356253623962,2,27,
7,1200,S15,0.7835290729999542,2,39,
7,1200,S16,0.5857277810573578,2,29,
7,1200,S3,0.8346952199935913,2,27,
7,1200,S5,0.5745200216770172,2,46,
7,1200,S6,0.8843129873275757,2,30,
7,1200,S7,0.7425205111503601,2,49,
7,1200,S8,0.9514238238334656,2,40,
7,1200,S9,0.5859436988830566,2,33,
7,1500,S11,0.9938265085220337,2,55,
7,1500,S13,0.79374098777771,2,33,
7,1500,S15,0.7604069709777832,2,43,
7,1500,S16,0.5080354511737823,2,39,
7,1500,S3,0.75096395611763,2,44,
7,1500,S5,0.4949669986963272,2,63,
7,1500,S6,0.7917569577693939,2,47,
7,1500,S7,0.7354587614536285,2,55,
7,1500,S8,0.81536465883255,2,54,
7,1500,S9,0.5484412610530853,2,45,
7,1800,S11,0.7483255863189697,2,63,
7,1800,S13,0.846411943435669,2,47,
7,1800,S15,0.762391597032547,2,57,
7,1800,S16,0.49611207842826843,2,54,
7,1800,S3,0.8498325347900391,2,57,
7,1800,S5,0.42642994225025177,2,80,
7,1800,S6,0.9412684440612793,2,64,
7,1800,S7,0.6514035761356354,2,57,
7,1800,S8,0.9099812805652618,2,71,
7,1800,S9,0.6317791938781738,2,62,
7,2100,S11,0.6815142035484314,2,71,
7,2100,S13,0.6227015852928162,2,64,
7,2100,S15,0.780799388885498,2,63,
7,2100,S16,0.5399047434329987,2,71,
7,2100,S3,0.8010210990905762,2,74,
7,2100,S5,0.40131276845932007,2,97,
7,2100,S6,0.8141958713531494,2,71,
7,2100,S7,0.7332030236721039,2,69,
7,2100,S8,0.830754429101944,2,80,
7,2100,S9,0.36351920664310455,2,73,
7,2400,S11,0.8601717352867126,2,76,
7,2400,S13,0.6115789115428925,2,81,
7,2400,S15,0.7540995180606842,2,68,
7,2400,S16,0.27983786165714264,2,85,
7,2400,S3,0.6554103046655655,2,91,
7,2400,S5,0.4161968529224396,2,114,
7,2400,S6,0.6944012343883514,2,81,
7,2400,S7,0.5732274651527405,2,71,
7,2400,S8,0.761667937040329,2,89,
7,2400,S9,0.5032335817813873,2,75,
7,2700,S11,0.6811613738536835,2,78,
7,2700,S13,0.6217784732580185,2,95,
7,2700,S15,0.7682934999465942,2,72,
7,2700,S16,0.4903571456670761,2,87,
7,2700,S3,0.7101762294769287,2,105,
7,2700,S5,0.29393600672483444,2,118,
7,2700,S6,0.9047231376171112,2,83,
7,2700,S7,0.608069658279419,2,73,
7,2700,S8,0.7812825441360474,2,97,
7,2700,S9,0.440023809671402,2,77,
7,3000,S11,0.6407063603401184,2,88,
7,3000,S13,0.5839495360851288,2,104,
7,3000,S15,0.9200475513935089,2,84,
7,3000,S16,0.30865074694156647,2,101,
7,3000,S3,0.6007458567619324,2,117,
7,3000,S5,0.3887891173362732,2,132,
7,3000,S6,0.8301053941249847,2,90,
7,3000,S7,0.5417318046092987,2,86,
7,3000,S8,0.7717767357826233,2,99,
7,3000,S9,0.3672071397304535,2,90,
7,3300,S11,0.6073018014431,2,100,
7,3300,S13,0.5167125463485718,2,120,
7,3300,S15,0.6598547101020813,2,95,
7,3300,S16,0.2899189889431,2,118,
7,3300,S3,0.5253593623638153,2,128,
7,3300,S5,0.2517281025648117,2,146,
7,3300,S6,0.8963695466518402,2,107,
7,3300,S7,0.6056143939495087,2,96,
7,3300,S8,0.6351911127567291,2,115,
7,3300,S9,0.32344548404216766,2,107,
7,3600,S11,1.2307354807853699,2,117,
7,3600,S13,0.5694067478179932,2,137,
7,3600,S15,0.6548522114753723,2,107,
7,3600,S16,0.19316715747117996,2,135,
7,3600,S3,0.5671128928661346,2,143,
7,3600,S5,0.3769957572221756,2,157,
7,3600,S6,0.6987709403038025,2,124,
7,3600,S7,0.5499854385852814,2,113,
7,3600,S8,0.5956629514694214,2,130,
7,3600,S9,0.2667175978422165,2,124,
7,3900,S11,0.5844778120517731,2,131,
7,3900,S13,0.43393048644065857,2,154,
