seed,time,node,loss,sgd_steps,total_sgd_steps,details
7,0,S7,1.0284890234470367,2,2,"{""active_neurons"": 6, ""peer_id"": ""S8"", ""received_subnet_id"": 8, ""training_mode"": ""contact""}"
7,0,S8,1.3208292126655579,2,2,"{""active_neurons"": 6, ""peer_id"": ""S7"", ""received_subnet_id"": 7, ""training_mode"": ""contact""}"
7,0,S13,1.1099079847335815,2,2,"{""active_neurons"": 7, ""peer_id"": ""S16"", ""received_subnet_id"": 3, ""training_mode"": ""contact""}"
7,0,S16,1.258347749710083,2,2,"{""active_neurons"": 7, ""peer_id"": ""S13"", ""received_subnet_id"": 1, ""training_mode"": ""contact""}"
7,0,S3,1.1773154735565186,2,2,"{""active_neurons"": 6, ""peer_id"": ""S6"", ""received_subnet_id"": 6, ""training_mode"": ""contact""}"
7,0,S6,1.1671133637428284,2,2,"{""active_neurons"": 6, ""peer_id"": ""S3"", ""received_subnet_id"": 4, ""training_mode"": ""contact""}"
7,20,S5,1.1206356883049011,2,2,"{""active_neurons"": 7, ""peer_id"": ""S15"", ""received_subnet_id"": 2, ""training_mode"": ""contact""}"
7,20,S15,1.1507110595703125,2,2,"{""active_neurons"": 6, ""peer_id"": ""S5"", ""received_subnet_id"": 5, ""training_mode"": ""contact""}"
7,20,S13,1.1326269507408142,2,4,"{""active_neurons"": 7, ""peer_id"": ""S16"", ""received_subnet_id"": 1, ""training_mode"": ""contact""}"
7,20,S16,1.1678321957588196,2,4,"{""active_neurons"": 7, ""peer_id"": ""S13"", ""received_subnet_id"": 3, ""training_mode"": ""contact""}"
7,20,S3,1.1272162795066833,2,4,"{""active_neurons"": 6, ""peer_id"": ""S6"", ""received_subnet_id"": 4, ""training_mode"": ""contact""}"
7,20,S6,1.1397305130958557,2,4,"{""active_neurons"": 6, ""peer_id"": ""S3"", ""received_subnet_id"": 6, ""training_mode"": ""contact""}"
7,40,S5,1.1174683570861816,2,4,"{""active_neurons"": 6, ""peer_id"": ""S15"", ""received_subnet_id"": 5, ""training_mode"": ""contact""}"
7,40,S15,1.1305643320083618,2,4,"{""active_neurons"": 7, ""peer_id"": ""S5"", ""received_subnet_id"": 2, ""training_mode"": ""contact""}"
