seed,time,requester_id,peer_id,details
7,0,S5,S15,"{""agreement"": 0.5923711657524109, ""completed"": true}"
7,0,S15,S16,"{""agreement"": 0.8348901867866516, ""completed"": true}"
7,0,S7,S8,"{""agreement"": 0.10927922278642654, ""completed"": true}"
7,0,S8,S7,"{""agreement"": 0.5967984795570374, ""completed"": true}"
7,0,S13,S16,"{""agreement"": 0.8538751006126404, ""completed"": true}"
7,0,S16,S13,"{""agreement"": 0.6596741676330566, ""completed"": true}"
7,0,S3,S6,"{""agreement"": 0.7616250514984131, ""completed"": true}"
7,0,S6,S3,"{""agreement"": 0.5978695154190063, ""completed"": true}"
7,20,S5,S15,"{""agreement"": 0.8551408052444458, ""completed"": true}"
7,20,S15,S5,"{""agreement"": 0.8215939402580261, ""completed"": true}"
7,20,S13,S16,"{""agreement"": 0.9170203804969788, ""completed"": true}"
7,20,S16,S13,"{""agreement"": 0.9390653371810913, ""completed"": true}"
7,20,S3,S6,"{""agreement"": 0.911552369594574, ""completed"": true}"
7,20,S6,S3,"{""agreement"": 0.948798656463623, ""completed"": true}"
7,40,S5,S15,"{""agreement"": 0.7817011475563049, ""completed"": true}"
7,40,S15,S5,"{""agreement"": 0.5879958868026733, ""completed"": true}"
7,40,S13,S16,"{""agreement"": 0.5214338898658752, ""completed"": true}"
7,40,S16,S13,"{""agreement"": 0.9154787659645081, ""completed"": true}"
7,40,S3,S6,"{""agreement"": 0.842997670173645, ""completed"": true}"
7,40,S6,S3,"{""agreement"": 0.6285949945449829, ""completed"": true}"
7,60,S5,S15,"{""agreement"": 0.8614744544029236, ""completed"": true}"
7,60,S15,S5,"{""agreement"": 0.9289265275001526, ""completed"": true}"
7,60,S13,S16,"{""agreement"": 0.7626137137413025, ""completed"": true}"
7,60,S16,S13,"{""agreement"": 0.7638253569602966, ""completed"": true}"
7,60,S3,S6,"{""agreement"": 0.31790798902511597, ""completed"": true}"
7,60,S6,S3,"{""agreement"": 0.5529057383537292, ""completed"": true}"
7,80,S5,S15,"{""agreement"": 0.8507353663444519, ""completed"": true}"
7,80,S15,S5,"{""agreement"": 0.8657358288764954, ""completed"": true}"
7,80,S13,S16,"{""agreement"": 0.8102553486824036, ""completed"": true}"
7,80,S16,S13,"{""agreement"": 0.8678289651870728, ""completed"": true}"
7,80,S3,S6,"{""agreement"": 0.5270219445228577, ""completed"": true}"
7,80,S6,S3,"{""agreement"": 0.02993316575884819, ""completed"": true}"
7,100,S5,S15,"{""agreement"": 0.5131868124008179, ""completed"": true}"
7,100,S15,S5,"{""agreement"": 0.8128721117973328, ""completed"": true}"
7,100,S13,S16,"{""agreement"": 0.83155357837677, ""completed"": true}"
7,100,S16,S13,"{""agreement"": 0.3834488093852997, ""completed"": true}"
7,100,S3,S6,"{""agreement"": 0.8114824891090393, ""completed"": true}"
7,100,S6,S3,"{""agreement"": 0.7440086007118225, ""completed"": true}"
