seed,time,requester_id,peer_id,details
7,0,S13,S3,"{""agreement"": 0.9673295021057129, ""completed"": true}"
7,0,S3,S13,"{""agreement"": 0.5247565507888794, ""completed"": true}"
7,20,S13,S3,"{""agreement"": 0.9565944075584412, ""completed"": true}"
7,20,S3,S13,"{""agreement"": 0.776907742023468, ""completed"": true}"
7,40,S13,S3,"{""agreement"": 0.5844401717185974, ""completed"": true}"
7,40,S3,S13,"{""agreement"": 0.807695746421814, ""completed"": true}"
7,60,S13,S3,"{""agreement"": 0.907536506652832, ""completed"": true}"
7,60,S3,S13,"{""agreement"": 0.8887037038803101, ""completed"": true}"
7,80,S13,S3,"{""agreement"": 0.08251753449440002, ""completed"": true}"
7,80,S3,S13,"{""agreement"": 0.4246378242969513, ""completed"": true}"
7,100,S5,S7,"{""agreement"": 0.6031622290611267, ""completed"": true}"
7,100,S7,S5,"{""agreement"": 0.9667509198188782, ""completed"": true}"
7,100,S13,S3,"{""agreement"": 0.790445864200592, ""completed"": true}"
7,100,S3,S13,"{""agreement"": 0.35364609956741333, ""completed"": true}"
7,120,S5,S7,"{""agreement"": 0.8168315887451172, ""completed"": true}"
7,120,S7,S5,"{""agreement"": 0.19231632351875305, ""completed"": true}"
7,120,S13,S3,"{""agreement"": 0.8284622430801392, ""completed"": true}"
7,120,S3,S13,"{""agreement"": 0.4296905994415283, ""completed"": true}"
7,140,S5,S7,"{""agreement"": 0.927238941192627, ""completed"": true}"
7,140,S7,S5,"{""agreement"": 0.7738986611366272, ""completed"": true}"
7,140,S13,S3,"{""agreement"": 0.8363752365112305, ""completed"": true}"
7,140,S3,S13,"{""agreement"": 0.8779146075248718, ""completed"": true}"
7,160,S5,S7,"{""agreement"": 0.8794150948524475, ""completed"": true}"
7,160,S7,S5,"{""agreement"": 0.8898929953575134, ""completed"": true}"
7,160,S13,S3,"{""agreement"": 0.9520959258079529, ""completed"": true}"
7,160,S3,S13,"{""agreement"": 0.5164554119110107, ""completed"": true}"
7,180,S5,S7,"{""agreement"": 0.554145872592926, ""completed"": true}"
7,180,S7,S5,"{""agreement"": 0.7714044451713562, ""completed"": true}"
7,180,S13,S3,"{""agreement"": 0.17051704227924347, ""completed"": true}"
7,180,S3,S13,"{""agreement"": 0.9479990005493164, ""completed"": true}"
7,200,S13,S3,"{""agreement"": -0.0895705446600914, ""completed"": true}"
7,200,S3,S13,"{""agreement"": 0.8866837024688721, ""completed"": true}"
